Date,Views,Video
2019-06-21,14,#1
2019-06-22,25,#1
2019-06-23,32,#1
2019-06-24,38,#1
2019-06-25,33,#1
2019-06-26,42,#1
2019-06-27,40,#1
2019-06-28,13,#1
2019-06-29,21,#1
2019-06-30,38,#1
2019-07-01,27,#1
2019-07-02,29,#1
2019-07-03,22,#1
2019-07-04,13,#1
2019-07-05,4,#1
2019-07-06,10,#1
2019-07-07,11,#1
2019-07-08,16,#1
2019-07-09,18,#1
2019-07-10,30,#1
2019-07-11,17,#1
2019-07-12,17,#1
2019-07-13,9,#1
2019-07-14,15,#1
2019-07-15,11,#1
2019-07-16,2,#1
2019-07-17,13,#1
2019-07-18,16,#1
2019-07-19,13,#1
2019-07-20,11,#1
2019-07-21,2,#1
2019-07-22,13,#1
2019-07-23,19,#1
2019-07-24,13,#1
2019-07-25,14,#1
2019-07-26,9,#1
2019-07-27,8,#1
2019-07-28,13,#1
2019-07-29,13,#1
2019-07-30,13,#1
2019-07-31,17,#1
2019-08-01,24,#1
2019-08-02,8,#1
2019-08-03,10,#1
2019-08-04,4,#1
2019-08-05,14,#1
2019-08-06,23,#1
2019-08-07,21,#1
2019-08-08,11,#1
2019-08-09,13,#1
2019-08-10,8,#1
2019-08-11,16,#1
2019-08-12,16,#1
2019-08-13,16,#1
2019-08-14,13,#1
2019-08-15,11,#1
2019-08-16,9,#1
2019-08-17,10,#1
2019-08-18,13,#1
2019-08-19,21,#1
2019-08-20,21,#1
2019-08-21,11,#1
2019-08-22,12,#1
2019-08-23,11,#1
2019-08-24,7,#1
2019-08-25,13,#1
2019-08-26,25,#1
2019-08-27,18,#1
2019-08-28,14,#1
2019-08-29,22,#1
2019-08-30,6,#1
2019-08-31,11,#1
2019-09-01,7,#1
2019-09-02,11,#1
2019-09-03,20,#1
2019-09-04,18,#1
2019-09-05,20,#1
2019-09-06,18,#1
2019-09-07,12,#1
2019-09-08,16,#1
2019-09-09,12,#1
2019-09-10,18,#1
2019-09-11,19,#1
2019-09-12,15,#1
2019-09-13,12,#1
2019-09-14,13,#1
2019-09-15,20,#1
2019-09-16,20,#1
2019-09-17,18,#1
2019-09-18,12,#1
2019-09-19,21,#1
2019-09-20,9,#1
2019-09-21,8,#1
2019-09-22,27,#1
2019-09-23,26,#1
2019-09-24,18,#1
2019-09-25,8,#1
2019-09-26,25,#1
2019-09-27,10,#1
2019-09-28,17,#1
2019-09-29,9,#1
2019-09-30,19,#1
2019-10-01,14,#1
2019-10-02,23,#1
2019-10-03,12,#1
2019-10-04,12,#1
2019-10-05,8,#1
2019-10-06,16,#1
2019-10-07,22,#1
2019-10-08,30,#1
2019-10-09,15,#1
2019-10-10,17,#1
2019-10-11,9,#1
2019-10-12,10,#1
2019-10-13,14,#1
2019-10-14,15,#1
2019-10-15,21,#1
2019-10-16,19,#1
2019-10-17,20,#1
2019-10-18,8,#1
2019-10-19,12,#1
2019-10-20,13,#1
2019-10-21,20,#1
2019-10-22,18,#1
2019-10-23,25,#1
2019-10-24,12,#1
2019-10-25,10,#1
2019-10-26,13,#1
2019-10-27,15,#1
2019-10-28,20,#1
2019-10-29,14,#1
2019-10-30,23,#1
2019-10-31,15,#1
2019-11-01,12,#1
2019-11-02,3,#1
2019-11-03,11,#1
2019-11-04,12,#1
2019-11-05,19,#1
2019-11-06,9,#1
2019-11-07,14,#1
2019-11-08,19,#1
2019-11-09,17,#1
2019-11-10,9,#1
2019-11-11,19,#1
2019-11-12,25,#1
2019-11-13,37,#1
2019-11-14,5,#1
2019-11-15,26,#1
2019-11-16,17,#1
2019-11-17,22,#1
2019-11-18,19,#1
2019-11-19,42,#1
2019-11-20,25,#1
2019-11-21,26,#1
2019-11-22,23,#1
2019-11-23,20,#1
2019-11-24,26,#1
2019-11-25,44,#1
2019-11-26,39,#1
2019-11-27,30,#1
2019-11-28,37,#1
2019-11-29,16,#1
2019-11-30,12,#1
2019-12-01,27,#1
2019-12-02,45,#1
2019-12-03,52,#1
2019-12-04,37,#1
2019-12-05,29,#1
2019-12-06,20,#1
2019-12-07,15,#1
2019-12-08,12,#1
2019-12-09,22,#1
2019-12-10,29,#1
2019-12-11,37,#1
2019-12-12,28,#1
2019-12-13,12,#1
2019-12-14,7,#1
2019-12-15,10,#1
2019-12-16,15,#1
2019-12-17,19,#1
2019-12-18,14,#1
2019-12-19,14,#1
2019-12-20,6,#1
2019-12-21,6,#1
2019-12-22,3,#1
2019-12-23,5,#1
2019-12-24,2,#1
2019-12-25,2,#1
2019-12-26,1,#1
2019-12-27,5,#1
2019-12-28,5,#1
2019-12-29,3,#1
2019-12-30,7,#1
2019-12-31,1,#1
2020-01-01,3,#1
2020-01-02,2,#1
2020-01-03,4,#1
2020-01-04,3,#1
2020-01-05,5,#1
2020-01-06,7,#1
2020-01-07,9,#1
2020-01-08,3,#1
2020-01-09,4,#1
2020-01-10,13,#1
2020-01-11,6,#1
2020-01-12,10,#1
2020-01-13,7,#1
2020-01-14,8,#1
2020-01-15,8,#1
2020-01-16,12,#1
2020-01-17,8,#1
2020-01-18,7,#1
2020-01-19,9,#1
2020-01-20,13,#1
2020-01-21,6,#1
2020-01-22,11,#1
2020-01-23,6,#1
2020-01-24,14,#1
2020-01-25,6,#1
2020-01-26,6,#1
2020-01-27,16,#1
2020-01-28,11,#1
2020-01-29,6,#1
2020-01-30,17,#1
2020-01-31,6,#1
2020-02-01,10,#1
2020-02-02,3,#1
2020-02-03,10,#1
2020-02-04,12,#1
2020-02-05,26,#1
2020-02-06,9,#1
2020-02-07,8,#1
