"","dia","hora","sentido","eixos_2","eixos_3","eixos_4","eixos_5","eixos_6","eixos_7","eixos_8","eixos_9","passeio","moto","outros"
"362",6,0,"D","5","10","14","3","4","0","0","0","110","3","4"
"363",6,0,"Total","13","23","17","5","8","0","0","0","148","3","8"
"364",6,1,"C","5","11","4","4","6","0","0","1","21","3","2"
"365",6,1,"D","6","12","15","5","2","1","0","0","84","2","3"
"366",6,1,"Total","11","23","19","9","8","1","0","1","105","5","5"
"367",6,2,"C","6","6","1","8","6","0","0","0","26","5","4"
"368",6,2,"D","8","7","14","2","1","0","0","0","89","1","1"
"369",6,2,"Total","14","13","15","10","7","0","0","0","115","6","5"
"370",6,3,"C","5","6","5","7","6","0","0","0","27","6","3"
"371",6,3,"D","18","24","20","2","2","0","0","0","77","3","9"
"372",6,3,"Total","23","30","25","9","8","0","0","0","104","9","12"
"373",6,4,"C","7","9","5","6","17","0","0","0","65","4","5"
"374",6,4,"D","9","17","30","4","10","1","0","0","69","0","5"
"375",6,4,"Total","16","26","35","10","27","1","0","0","134","4","10"
"376",6,5,"C","17","13","11","28","39","0","0","1","144","9","20"
"377",6,5,"D","23","20","40","4","10","1","0","0","130","8","12"
"378",6,5,"Total","40","33","51","32","49","1","0","1","274","17","32"
"379",6,6,"C","24","24","13","43","43","0","0","3","286","11","38"
"380",6,6,"D","28","33","60","6","14","0","0","1","254","12","13"
"381",6,6,"Total","52","57","73","49","57","0","0","4","540","23","51"
"382",6,7,"C","38","22","18","57","51","0","0","0","351","11","44"
"383",6,7,"D","13","21","70","10","13","0","0","0","318","7","14"
"384",6,7,"Total","51","43","88","67","64","0","0","0","669","18","58"
"385",6,8,"C","45","41","24","45","46","1","0","0","412","11","28"
"386",6,8,"D","19","17","89","13","15","0","0","0","429","9","15"
"387",6,8,"Total","64","58","113","58","61","1","0","0","841","20","43"
"388",6,9,"C","38","25","25","33","36","3","0","0","479","9","26"
"389",6,9,"D","17","16","86","12","14","0","0","0","672","9","27"
"390",6,9,"Total","55","41","111","45","50","3","0","0","1151","18","53"
"391",6,10,"C","36","36","22","47","47","2","0","3","540","8","28"
"392",6,10,"D","19","12","77","8","23","0","0","0","725","19","15"
"393",6,10,"Total","55","48","99","55","70","2","0","3","1265","27","43"
"394",6,11,"C","27","29","21","50","51","1","0","0","465","11","27"
"395",6,11,"D","31","21","72","17","24","0","0","0","710","14","23"
"396",6,11,"Total","58","50","93","67","75","1","0","0","1175","25","50"
"397",6,12,"C","44","17","32","48","43","5","0","10","375","7","29"
"398",6,12,"D","33","24","50","16","26","0","0","2","725","25","22"
"399",6,12,"Total","77","41","82","64","69","5","0","12","1100","32","51"
"400",6,13,"C","41","37","20","52","46","3","1","1","421","6","33"
"401",6,13,"D","36","24","45","14","14","0","0","2","701","11","20"
"402",6,13,"Total","77","61","65","66","60","3","1","3","1122","17","53"
"403",6,14,"C","37","27","18","45","52","2","0","3","463","10","29"
"404",6,14,"D","18","19","56","19","14","3","0","1","703","9","28"
"405",6,14,"Total","55","46","74","64","66","5","0","4","1166","19","57"
"406",6,15,"C","35","26","19","43","41","1","0","1","485","7","34"
"407",6,15,"D","25","14","58","22","13","3","0","0","865","19","17"
"408",6,15,"Total","60","40","77","65","54","4","0","1","1350","26","51"
"409",6,16,"C","30","35","19","33","47","7","0","1","372","18","29"
"410",6,16,"D","26","21","83","17","15","4","0","3","857","12","28"
